voltage V,current pA,unc pA
-1.2,-11.16,0.2266
-1.15,-9.929,0.2251
-1.1,-7.81,0.177
-1.07,-5.642,0.1509
-1.06,-4.624,0.141
-1.05,-3.328,0.103
-1.04,-1.791,0.0725
-1.03,0.1146,0.0603
-1.02,2.432,0.0395
-1.01,5.398,0.0756
-1,9.1507,0.0986
-0.9,121.63,1.825
