voltage V,current pA,unc pA
-1.5,-8.836,0.324
-1.49,-2.411,0.363
-1.485,0.963,0.2675
-1.48,4.491,0.1965
-1.47,12.2317,0.2185
-1.46,21.142,0.4379
-1.45,31.069,0.515
-1.44,42.3,0.6763
-1.43,54.648,0.877
-1.42,67.957,1.14017
-1.4,101.323,2.3159
