voltage V,current pA,unc pA
-1.5,-2.943,0.073
-1.3,-2.809,0.0323
-1.2,-2.754,0.0484
-1.1,-2.568,0.0427
-1,-1.847,0.0373
-0.97,-1.54,0.0222
-0.96,-1.3173,0.0319
-0.95,-0.952,0.0334
-0.94,-0.605,0.019
-0.93,-0.1722,0.0185
-0.92,0.378,0.0181
-0.91,1.1043,0.0228
-0.9,1.894,0.0276
-0.85,10.993,0.111
-0.8,35.388,0.3962
